id|time|attempt|label|category|sentence
18|1526333333.204234||1|Tense: past/pres|Разве мы __понимали__ что-нибудь в наших поступках ?
18|1526391386.9835129||0|Case: gen/nom|Явной слабостью ее была только  хорошая одежда , бархат , шелка , дорогой мех ... __нас__ оба были __богатыми__ , __здоровыми__ , __молодыми__ и настолько __хорошими__  собой , что в ресторанах , на концертах нас провожали взглядами .
20|1526377097.6939595||0|Number: p/s|__были__ здесь и __один__ из последних разработок – « Орлан-М »  , скафандр для работ в открытом космосе , вариант 2015 года .
20|1526378794.1409204||2|Case: loc/acc|То есть информации в __единице__ времени мы получаем настолько много , что ее анализ требует  огромных ресурсов и времени .
20|1526379419.9126143||0|Number: s/p|Сейчас « Вета-Сайенс » __использует__ тридцать научных организаций .
20|1526330887.0791056||0|Case: instr/gen|Они ,  возможно , и были суровыми и уж точно не чурались __грабежами__ , но от одиночества в своих дальних походах не страдали  .
20|1526329349.1594553||1|Number: s/p|Как и следовало ожидать , дружеские отношения __человека__ и котов начались вместе с появлением земледелия .
20|1526329612.3436172||0|Case: nom/gen, Number: s/p|Так что  __хвостатый__ __охранник__ сначала __распространялся__ по миру вслед за __мотыгу__ и __серп__ .
20|1526331477.773861||0|Case: nom/gen|Кроме того , коты часто  фигурируют в скандинавской мифологии : они __тащили__ на себе колесницу __богиня__ любви Фрейи , а у Локи из Утгарда был настолько  большой кот , что его не мог поднять сам Тор .
21|1560863199.1630666|1|0|Number: s/p, Case: nom/gen|Исследователи из парижского Института Жака  Моно проанализировали ДНК 290 котов из 30 археологических памятников , __разбросанный__ по разным уголкам планеты : по Европе , Ближнему __востока__  и Африке .
21|1560863199.1630666|1|0|Verb form: ind/3 past p s, Base|И одними женами дело не __ограничивается__ – новое исследование __показать__ , что скандинавы брали с собой еще и котов .
21|1560863225.653698|2|0|Case: gen/dat|Исследователи из парижского Института Жака Моно проанализировали ДНК 290 котов из 30 археологических памятников ,  __разбросанный__ по разным уголкам планеты : по Европе , Ближнему __востока__ и __африкы__ .
21|1560881125.3691788|2|0|Number: p/s|Только рыба плохо __клевали__ : поймали всего с десяток пескариков .
21|1560879881.184107|1|0|Case: gen/loc|Именно он запечатлен __без__ __знаменитых__ __дисков__ из Феста .
21|1560879883.6201394|2|0|Case: gen/loc, Number: p/s, Chunk|Именно он запечатлен __без__ __знаменитых__ __дисков__ из Феста .
22|1556827803.046685|2|0|Verb form: imp/gerund|Когда к тебе на  дачу приезжают бедные родственники , то не бледней , а __торжествуй__ восклицай : « Хорошо , что это не __городовое__ !
23|1551431263.2672923||0|Case: gen/nom|В саду старика крестьянина  в провинции Пачиу ( ныне Хунань ) необычайно разрослось апельсиновое __дерева__ .
23|1551433307.118717||0|Number: s/p|"__пешкые__ двигаются на одно поле вперед до __того__ пор , пока не __переидут__ "" реку "" ."
23|1551430921.0625045||1|Tense: past/fut|До этого в Брюсселе __была__ отшлифована совместная политическая декларация , касающаяся __отношение__ ЕС и Британии  после выхода Британии из союза .
23|1551434447.8878827||0|Case: gen/nom|В 1779 __лет__ внук и наследник графа __джорджа__ Уолпол продал за £ 40 тыс .
25|1552376180.435789||0|Verb form: 3 fut p/inf|Для этого недостаточно __выиграют__ 200 000 , __получит__ Белого __орела__ , жениться на хорошенькой  , прослыть благонамеренным — все эти блага тленны и поддаются привычке .
26|1551452387.1253216||0|Case: gen/nom|Если жить только для себя , своими мелкими заботами  о собственном благополучии , то от прожитого не останется и __след__ .
26|1551452835.330857||2|Number: s/p|Надо иметь и __принцип__ в жизни .
26|1552212056.310928||1|Tense: pres/past|Я __вижу__ , как мама варит .
26|1552062697.2671344||2|Tense: pres/past| В качестве опорных __елементов__ своих храмов и __общественный__ зданий греки __используют__ колонны , аналогичные тем , которые поддерживают Парфенон .
26|1552125132.54707||0|Case: loc/acc|Все афинские  граждане были участниками городской ассамблеи , которая созывалась раз в __неделе__ .
26|1552125310.33877||0|Gender: m/f, Cas: loc/dat|На __этом__ ассамблее мог выступить любой гражданин .
26|1552671071.9592087||0|Number: p/s|Простите за тривиальное словцо , но мне было не до высокого слога ... потому что ведь  все , что только ни было в Петербурге , или __переехали__ , или переезжало на дачу ; потому что каждый почтенный  господин солидной наружности , нанимавший извозчика , на глаза мои тотчас же обращался в почтенного отца семейства , который после обыденных должностных занятий отправляется налегке в недра своей фамилии , на дачу ; потому что у каждого прохожего был теперь уже совершенно особый вид , который чуть-чуть не говорил всякому встречному : « Мы , господа , здесь только так , мимоходом , а вот через два часа мы уедем на дачу » .
26|1552733279.6549165||1|Number: s/p|Отворялось ли окно , по которому побарабанили сначала тоненькие , белые , как сахар , пальчики  , и высовывалась головка хорошенькой девушки , подзывавшей разносчика с __горшком__ цветов , — мне тотчас же , тут же __представлялась__  , что эти цветы только так покупаются , то есть вовсе не для того , чтоб наслаждаться весной и цветами в душной городской квартире , а что вот очень скоро все переедут на дачу и цветы с собою увезут .
26|1551442613.3728142||0|Tense: pres/past|распространение христианства перестраивает всю структуру европейской культуры , а переселения народов выдвигают новые народы и новые языки , которые в Средние века стали основой национальных литератур , существующих до наших дней , историческая преемственность античной и  новоевропейских культур всегда оставалась ощутимой , и античная литература всегда __представляется__ истоком и часто образцом новых литератур .
26|1551449445.167803||0|Case: loc/gen|Так античность выступала  __духовная__ __опора__ европейской культуры в решающие и поворотные моменты ее __развитии__ .
26|1551451480.6762307||0|Number: p/s|Система жанров __европейских__ литературы с ее четким расчленением эпоса , лирики и драмы  , с ее выделением оды , элегии и песни в лирике , трагедии и комедии в драме непосредственно развивалась из системы жанров античной литературы .
26|1551451480.6762307||0|Case: instr/gen|Система жанров европейской литературы с ее четким расчленением эпоса  , лирики и драмы , с ее выделением оды , __элегией__ и песни в лирике , __трагедией__ и __комедией__ в драме  непосредственно развивалась из системы жанров античной литературы .
26|1551451770.8092334||0|Case: gen,loc,dat/inst|Система __стили__ европейской литературы с ее __классификации__ приемов , различением __метафоры__ , метонимий и т .
26|1551817322.4647503||0|Number: s/p, Case: non/dat|Носителями второй - древние __македоняны__ , народ , родственный __грек__ , находившийся под __воздействьем__ греческой культуры с самых давних времен  .
26|1551960011.9375956||0|Case: gen/instr|Римские авторы не раз писали по-гречески , греки  же в римской державе чуждались латинского языка , пренебрегали латинской __литературы__ и в своем политическом подчинении утешались сознанием непререкаемого духовного превосходства  .
26|1551976045.637475||0|Number: s/p|Полисы продолжали существовать , но лишь как __самоуправляющаясь__ __ячейка__ большого государства .
26|1551976528.1819313||0|Case: nom/gen|История греческой и история римской литературы обычно излагаются раздельно лишь из соображений педагогических ; в настоящем же очерке развитие этих литератур прослеживается параллельно , как двух  разноязычных вариантов единой культуры ( при всем своеобразии их культурных __традиции__ ) .
26|1553456990.7784398||0|Case: nom/dat|Она их надела  , затем выскользнула из-под одеяла и на цыпочках __прокраслась__ к __окно__ .
26|1553541838.3752012||0|Tense: past/fut|__остановилась__ , затем __сделала__ несколько шагов и снова остановится .
26|1553869822.9200559||0|Short/full: f/s|Внимательно к  нему присмотревшись , она решила , что он __что-то__ все-таки __похожий__ на __человеку__ .
26|1553870412.1618898||0|Case: nom/gen|Софи знала , что двое __дети__ Гучи __спали__ в одной из комнат наверху .
28|1565284067.5660772|1|0|Tense: past/fut|Только они разговаривали не просто , как другие ребята , а рассказывали друг другу  разные небылицы , будто пошли на спор , кто кого __переврал__ .
28|1565284480.5545843|1|0|Tense: past/pres, Gender: f/m|— __спрашивала__ Мишутка .
28|1554753698.6277802|1|0|Case: loc/acc|Но в __этом__ день им не повезло : рыба совсем не клевала .
28|1554754865.6994805|1|0|Case: dat/gen|— Там , у __реке__ , на колхозном .
28|1565261500.5449846|1|1|Number: s/p|Мама дала  Котьке в руки два огурца , которые не поместились в __кармане__ , и вывела его за дверь .
28|1565261861.0619776|1|0|Mood: ind/imp|— Или __несешь__ огурцы , или совсем __уходит__ из __дома__ , ты мне не сын !
28|1565262592.4273944|2|2|Number: p/s, Case: loc/acc|__бросию__ их тут , в __канавах__ , а скажу , что отнес , — решил Котька  и стал оглядываться вокруг .
28|1565263073.755966|2|0|Gender: f/m, case: dat/nom|— Он мне свои огурцы отдал , а __самой__ дома __сидели__ .
28|1565269595.5325844|1|0|Gender: m/f|Мама __сказал__ , чтоб я __отнести__ обратно .
28|1565281517.8251557|2|0|Verb form: 3 pres s/ imp|__дает__ огурцы и __идет__ домой .
28|1565361453.1323576|1|1|Number: s/p|Перед нами движутся  __делигыбосные__ процессии , __плыют__ корабли , акробаты рискуют жизнью __на__ __игре__ с быком , придворные дамы восседают на __пире__ ... Можно  увидеть , как выглядели и что делали люди той далекой эпохи , но , к сожалению , нельзя понять , о чем они говорят .
28|1565366665.9473472|1|0|Number: p/s|Позднее , уже в эпоху микенской  культуры , __возникнул__ « линейное письмо Б » — упрощенная __формы__ письма А , приспособленная для __нужды__ другого народа .
28|1565366665.9473472|1|0|Number: s/p|Позднее , уже в эпоху микенской культуры , возникло « линейное письмо  Б » — упрощенная __формы__ письма А , приспособленная для __нужды__ другого народа .
28|1565366865.755688|2|0|Case: loc/instr|Глиняные таблички написаны в основном __этом__ шрифтом .
28|1565177156.4666598|1|2|Case: gen/loc|В 1779 __лет__ внук и наследник графа Джордж Уолпол продал за £ 40  тыс .
28|1565177560.3170958|1|0|Case: gen/instr|Вместе с __коллекции__ в Петербург привезли представленный на выставке портрет Роберта Уолпола __с__  полный рост , заказанный самой моделью Жан-Батисту ван Лоо и получивший одобрение в виде размещения в спальне графа .
28|1565182794.4416265|1|0|Short/full: f/s |На выставке __показанное__ само издание и отдельно 21 гравюра .
28|1556639755.6569026|2|0|Case: gen/nom, Number: s/p, Plur form: дерева|Во-вторых , поначалу с наступлением засухи __дерева__ и другие растения __синтезировали__ много изопрена – одного из тех  самых веществ , которые участвуют в озонопорождающих реакциях .
28|1556639755.6569026|2|1|Tense: past/pres| Во-вторых , поначалу с наступлением засухи __дерева__ и другие растения __синтезировали__ много изопрена – одного из тех самых веществ , которые  участвуют в озонопорождающих реакциях .
31|1553526990.2686703||2|Case: gen/insrt|Он кота угостил и спрашивает  : — А откуда ты знаешь , что __я__ дядей __федора__ звать ?
31|1553528030.4014604||0|Case: dat/gen|Кот сомневается : — Мама твоя __мне__ выгонит .
31|1553624343.070248||0|Case: gen/nom|Будет у нас сторожевой __кота__ .
31|1553624755.5267332||0|Case: instr/gen|Он с __вечером__ сложил в __рюкзаке__ все , что надо .
31|1553811681.6494153||0|Number: s/p|И Барсиком меня __звал__ , и __пушоком__ , и Оболтусом .
31|1553928860.295461||0|Tense: past/pres|И меня тоже в море __тянул__ .
31|1553929512.7600825||0|Gender: m/n|— И с котами связано , и что-то __морской__ есть в __этом__ фамилии .
31|1553930420.5591662||0|Verb form: 3 past s/2 pres s|А про Матроскина ничего __такой__ не __сказал__ .
31|1553930668.7454004||0|Case: gen/instr|У нас за __реки__ новый дом построили , пятиэтажный , как в городе .
31|1553930962.459379||0|Tense: fut/past, Number: s/p|А __свой__ дома __оставит__ .
31|1554821004.540138|2|0|Number: s/p, Case: dat/gen / Could be spelling error|Мы __задержаемся__ у __другу__ и __вернемся__ домой очень поздно .
31|1554821425.7462215|1|0|Gender: m/f|Я так __разозлился__ , но __сдержался__ и __ни__ сказала все , что __думал__ .
31|1554821425.7462215|1|0|Gender: m/f|Я так разозлилась , но сдержалась и не сказала все , что думаю  __разозлился__ , но __сдержался__ и __ни__ сказала все , что __думал__ .
31|1554977989.0075023|1|0|Number: s/p|Атмосферное давление в __пределе__ нормы .
31|1554978472.2966743|1|0|Number: s/p, Case: loc/acc|Чудесная Плохая Потрясающая Отвратительная Восхитительная Мерзкая Приятная Кошмарная Прекрасная Жуткая Великолепная Ужасная На природе воздух чище Листья осенью желтеют и падают Зимой деревья покрываются снегом Мы любим гулять в лесу Мы с друзьями пойдем завтра на рыбалку Здесь можно ловить рыбу Осенью можно собирать ягоды и грибы Зимой мы часто катаемся на лыжах / на коньках / на санках Летом мы купаемся в море  На море мы плаваем и загораем Весной мы ходим в __походе__ / на __пикнике__ Устойчивые выражения Сколько лет , сколько __зима__  !
32|1553879264.3641787||0|Case: gen/loc|Именно он запечатлен на __знаменитого__ диске из Феста .
32|1553879546.8060129||0|Short/full: f/s|Глиняные таблички __написанные__ в основном этим __шрифт__ .
33|1551879277.7035124||0|Case: nom/loc, Number: s/p, Base| Впервые ( в XIV веке ) Магеллановы Облака описал в __свой__ заметках Антонио Пигефетта , спутник путешественника Фернана Магеллана , во  время первого в истории кругосветного плавания .
33|1552385176.6702697||0|Case: gen/instr, Number: p/s|"Учиться начинают с простого прыжка вниз ногами – "" __солдатиков__ "" ."
33|1553263848.1356614||0|Case: nom/gen|Нильские  суда Одна из величайших цивилизаций __возникнует__ на __узком__ полосе плодородной __земля__ вдоль берегов реки Нил в __египете__ .
34|1555534054.192106|1|2|Case: nom/dat|__вы__ поменяли полотенца , простыни , одеяло … я даже __принести__  вам новую подушку , мыло и зубную пасту … - Перестаньте водить меня за нос !
34|1567004366.6336167|1|0|Case: dat/instr|Все четыре времени года по-своему уникальны , у  каждого из них имеются __своими__ особенные черты , которые с __каждому__ годом __удивляет__ своими красивыми __явления__ .
34|1567004905.936734|1|0|Case: acc/loc|Весна  – это самое прекрасное время года , __которое__ включает __между__ __себе__ март , апрель и май месяцы .
34|1567005047.4092395|1|3|None|В голубом небе светит солнышко , __согре́вая__ своими лучами .
34|1567189057.5345788|1|0|Case: nom/loc|Когда я побывала в этом городе впервые три года назад , я поняла , что ,  как минимум , __хотел__ выучить французский язык , а в __перспектива__ – продолжить свое образование в одном из парижских __университетах__ ,  в конце концов , у всех должна быть какая-то мечта .
34|1567189086.463119|2|0|Case: nom/loc|Когда я побывала в этом городе впервые три года назад , я поняла , что ,  как минимум , __хотел__ выучить французский язык , а в __перспектива__ – продолжить свое образование в одном из парижских университетов ,  в конце концов , у всех должна быть какая-то мечта .
34|1567183869.1270216|1|0|Number: p/s, Case: acc/loc|В __музеи__ было очень интересно .
35|1566688554.7984958|1|2|Number: p/s|При этом большая часть из нескольких  тысяч мигрантов , __который__ власти Мехико __предоставал__ временный лагерь на __территориях__ спортивного комплекса на востоке города , пока __оставался__ на месте  .
35|1566688554.7984958|1|0|Case: gen/loc|При __этого__ большая часть из __несколких__ тысяч мигрантов , __который__ власти Мехико  предоставили временный лагерь на территории спортивного комплекса на востоке города , пока остаются на месте .
35|1555625614.1034975|2|0|Number: p/s|Озоновый слой стратосферы защищает нас от жесткого ультрафиолетового излучения , но на самом-то деле озон токсичен  – __будет__ агрессивным окислителем , он повреждает органы дыхания , __вызывают__ мутации , а при высоких концентрациях может просто __убивать__ .
36|1554483547.485893|1|0|Case: loc/acc|Не  так давно выяснилось , к примеру , что в морские __походах__ с ними отправлялись жены .
36|1554478306.3754318|1|0|Tense: fut/past|« Мы хотели сделать событие  не просто российское , но международное по __маштабу__ , — __отметит__ руководитель Департамента культуры Москвы Александр Кибовский .
36|1556285746.1170287|1|0|Case: nom/gen, Base|« Он терпеть не __можешь__ черствого __хлеб__ » – и я бегу в булочную .
36|1556820175.8374214|2|0|Case: loc/acc|Несколько лет назад , когда я играл в __водном__ поло в команде __мастером__ , Димка боготворил меня .
36|1557336410.2674494|1|0|Case: loc/dat|Таким образом он выражает свою иронию __на__ __отношении__ к нашему дому , который до революции __называется__ « Меблированные  комнаты „ Барселона “ .
37|1550248350.488106||0|Number: s/p, Case: nim/gen|Не было ни демонстрации протеста со стороны болельщиков ,  ни разгромных материалов на два разворота в Tuttosport , ни __провокационный__ вопросов на пресс-конференции .
37|1551196481.3700943||0|Case: nom/gen, Base|Не было ни __димонстраций__ протеста со __сторона__ болельщиков , ни разгромных материалов на два __развороты__ в Tuttosport  , ни провокационных вопросов на пресс-конференции .
37|1551198334.6019285||3|None|В __матче__ 22 тура Серии А к « __ювентус__ » приехал « на тот момент приличный ход ( закончил сезон на 4 месте , Ди Натале стал лучшим бомбардиром серии А с 28 мячами ) .
37|1551619588.4880362||0|Case: nom/gen|Сейчас Де Шильо получает достаточно __игравого__ времени у __мистер__ в « Ювентусе » , к которому присоединился в 2017  году .
38|1553679147.3588948||0|Case: loc/gen| Только три галактики , кроме Млечного __путя__ , видны с __земле__ невооруженным глазом — Большое и Малое Магеллановы Облака и __галактики__  Андромеды .
38|1553245842.518451||0|Gender: n/f|Позже Хокинс __призналось__ , что ради __этого__ соревнований даже __пропустил__ свой __послеобеденной__ сон  .
38|1553256559.6621113||7|Other: wrong word, шесть/шест|До бега он  также занимался спортом : он метал диски и прыгал с __шестой__ еще в колледже .
38|1554554747.478267|1|0|Case: gen/dat| Впрочем , перед тем , как выходить на __корте__ советуем __вас__ поднять уровень общей физической подготовки .
38|1554555182.6705334|1|0|Number: s/p, Case: dat/loc|Самым эффективным способом занятий станет  __работой__ с личным тренером , можно прийти и сразу в __группе__ .
38|1550502705.1839254||2|Number: s/p|В Великобритании часть депутатов  от консервативной партии , в том числе некоторые члены кабинета __министра__ , требуют новых переговоров по договору .
38|1555052713.5475996|1|0|Case: nom/dat|Он , как __приличествовал__ знатному английскому вельможе , составил __превосходная__ __коллекция__ европейского искусства .
38|1555052713.5475996|1|0|Case: nom/dat| Он , как __приличествовал__ знатному английскому вельможе , составил __превосходная__ __коллекция__ европейского искусства .
38|1555054327.9413664|2|0|Case: loc/acc, Chunk|Вместе с коллекцией  в Петербург привезли представленный на выставке портрет Роберта Уолпола в __полном__ рост , заказанный самой моделью Жан-Батисту ван Лоо и получивший  одобрение в виде размещения в спальне графа .
38|1551862961.9516013||0|Case: gen/acc|в __чести__ его победы над хеттами , пришедшими из Сирии .
38|1551863249.973827||0|Other: personal/posessive pron|После __ими__ смерти народ вернулся к многобожию .
38|1551863249.973827||0|Case: nom/loc, Number: s/p, Base, Chunk|Основным транспортом в __древний__ __египет__ были суда , ходившие по реке Нил .
38|1553792120.1921613||7|Spelling lowercase|В __афинах__ была __введенная__ система правления , именуемая « __демократия__ » ,  что означает « народовластие » .
44|1551629301.6782494||0|Number: s/p|Шеогората __изображает__ в виде бородатого __мужчина__ в необычных __одежде__ и с __тростой__ в __левом__ руке .
45|1552397143.3101885||0|Number: s/p|После этого гипотеза об основной роли астероидов в появлении __земной__ океанов __стали__ почти __общеприняты__ .
45|1552395197.5774875||0|Number: p/s|Большая часть находящихся в Мехико мигрантов __отказались__ от права на убежище .
45|1553597513.7299674||0|Gender: m/f|В европейских странах вода считается __загрязненным__ , если в литре растворено больше нанограмма бензапирена .
45|1553597830.0005305||2|Case: gen/nom|Исследователи из __саратовскому__ __госуниверситету__ , Гентского университета ( __бельгии__ ) и Мюнхенского технического университета попытались обнаружить след бензапирена с  помощью полимеров с молекулярным импринтингом .
46|1550500039.6230333||0|Short/full: f/s|Темнел московский серый зимний день , холодно зажигался газ в фонарях , тепло освещались витрины магазинов — и разгоралась вечерняя , освобождающаяся от дневных дел московская жизнь : гуще и бодрей неслись извозчичьи санки , тяжелей гремели переполненные , ныряющие трамваи , — в сумраке уже видно было , как с шипением сыпались с проводов зеленые звезды — оживленнее спешили по снежным тротуарам мутно чернеющие прохожие ... Каждый вечер мчал меня в этот час на вытягивающемся рысаке мой кучер — от Красных ворот к храму Христа Спасителя : она жила против него ; каждый вечер я возил ее обедать в « Прагу » , в « Эрмитаж » , в « Метрополь » , после обеда в театры , на концерты , а там к « Яру » , в « Стрельну » ... Чем все это должно кончиться , я не знал и старался не думать , не додумывать : было бесполезно — так же , как говорить с ней об этом : она раз навсегда отвела разговоры о нашем будущем ; она была загадочна , непонятна для меня  , __странные__ были и __нам__ с ней отношения — совсем __близкие__ мы все еще не были ; и все это без  конца держало меня в неразрешающемся напряжении , в мучительном ожидании — и вместе с тем был я несказанно счастлив каждым часом , проведенным возле нее .
46|1550680037.5209994||0|Case: gen/dat|Среди экспонатов  — картина « Славная победа » , __которая__ в 1955 __года__ Ривера подарил советскому Союзу художников .
46|1550680037.5209994||0|Case: gen/nom|__творчества__ Диего Риверы __будут__ представлено его __работими__ в стилистиках __постимпрессионизмах__ ,  кубизма и реализма .
47|1554991371.1811268|2|1|Tense: pres/past|Преподавательница __идет__ по коридору и __несет__ тетради .
48|1543679285.8472607||0|Tense: past/pres|Мама посмотрела , а  у него полные карманы огурцов , и за пазухой огурцы __лежали__ , и в руках еще два больших огурца .
48|1543679617.167765||0|Number: p/s|— Где ты их __взяли__ ?
48|1543679886.818228||0|Verb form: 3 past s f/inf|Котька начал __вынимала__ огурцы из карманов .
48|1543679998.9212677||0|Verb form: inf/2 pres s|— Ничего , __отнести__ и __положить__ на той же грядке , где сорвал .
48|1543680298.8573785||0|Tense: fut/past, Person: 2/3|А если б он __поймаешь__ вас ?
48|1543681014.2276578||0|Case: loc/acc|Мама __стано́вится__ совать огурцы обратно Котьке в __кармане__ .
48|1543684164.2956734||0|Verb form: inf/3 fut s, Base|—  А этот вот огурец , что я съел , как __быть__ считаться — украл я его или нет ?
48|1544196113.0689225||0|Verb form: 3 past s m/inf|Я так обрадовался , что и __сказал__ нельзя !
48|1544196290.403741||2|Case: loc/acc|__меня__ , кстати , завтра надо в __городе__ поехать .
48|1544198387.8944292||0|Gender: m/n|Только __такой__ , чтоб побыстрей .
48|1544203023.5528693||0|Verb form: 3 past p/inf|Стали мы другую веревку __искали__ .
48|1544203023.5528693||0|Number: s/p, Case: nom/gen|— Ничего  , — говорит Мишка , — сейчас пойду попрошу у __сосед__ .
48|1544204343.3694112||1|Number: s/p|Когда пить хочется , та к кажется , что целое море выпьешь , а когда станешь пить , так одну кружку выпьешь и  больше уже не хочется , потому что __человек__ от природы __жадный__ ... Я говорю : — Нечего тут на людей наговаривать  !
48|1544204601.877032||0|Verb form: inf/3 past s m, Base|Я ее не заметил , __зацепить__ локтем и чуть не столкнул в колодец .
48|1544716269.8689935||3|Number: p/s|Древнеегипетская __цивилизацая__ __просуществова́ли__ 3500 лет и создала много замечательнейших памятников древней культуры .
48|1544716677.6941576||0|Case: nom/gen|Паводки гарантировали плодородие , но они  же были бедствием , когда __реку__ разливалась в неподходящее время __год__ и __мечтажала__ все __посев__ .
48|1544716967.4634006||0|Case: nom/gen, Base|Крестьяне научились регулировать паводковые воды ,  возводя __дамба__ и сооружая пруды , в __который__ на случай __засуха__ хранились __запас__ воды .
48|1548344848.6730566||0|Number: s/p| Скульпторы высекали прекрасные __статуя__ , философы записывали __свой__ мысли и __идея__ , драматурги создавали пьесы , основанные на событиях реальной жизни  .
52|1554150100.718092||0|Short/full: f/s|Не могу я наказывать , по слабости моего нездоровья  … Посеките его заместо меня , будьте столь благородны и __деликатный__ , Евтихий Кузьмич !
52|1554636407.9032254|1|0|Verb form: 2 pres s/inf|Помирать , ваше благородие , пришло время  … Не быть мне в живых … — Полно вздор __говоришь__ … Вылечим !
52|1554640414.507857|2|0|Case: gen/instr|Зеленое пятно и тени от панталон и  пеленок колеблются , мигают ей и скоро опять овладевают ее __мозга__ .
52|1554640741.49828|1|0|Case: loc/gen|— Подайте милостынки __христе__ ради !
52|1555242623.1651986|1|0|Person: 3/2|Когда __бегает__ и __ходит__ , спать уже не так хочется , как в сидячем  положении .
52|1555364576.9347785|1|0|Number: s/p, Tense: past/pres|__ложные__ представление __овладевали__ Варькой .
52|1564301462.2853248|1|0|Number: p/s|__пахнут__ щами и __сапожные__ товаром .
54|1569487761.7650757|1|0|Number: s/p|Способность учиться во сне активно __изучает__ , но результаты __почти__ получаются __проти́воречивые__ .
54|1553512702.4808984||0|Gender: m/f, Short/full: f/s, Base|Выяснить , насколько __загрязненный__ речная или питьевая вода , можно только в __лабораторях__ .
55|1545167758.1240451||2|Number: p/s|В __экспозиции__ __включи__ картины разных __двурчиских__ этапов Фриды Кало : работы ,  вдохновленные искусством Ренессанса , и более поздние полотна , насыщенные символами и фетишами .
55|1545166741.8736346||0|Gender: m/n|Издание гравюр __завершился__ уже после продажи коллекции , поэтому окончательное название двухтомника —  « Комплект эстампов , гравированных с самых главных картин коллекции ее императорского величества императрицы России , ранее находившихся во владении графа Орфорда в Хоутон-Холле в Норфолке » .
56|1541437400.610602||1|Short/full: f/s|Они , возможно , и были __суровые__ и уж точно не __чуратние__ грабежей , но от __одиночество__  в своих дальних походах не страдали .
56|1541437400.610602||0|Verb form: inf/3 past p|Они , возможно , и были суровыми и уж точно не чурались  грабежей , но от __одиночество__ в своих дальних __походов__ не __страдать__ .
56|1541438400.887409||0|Case: nom/gen|лет назад ) до __новое__ времени ( XVIII в . )
56|1541438400.887409||0|Case: nom/gen, Base|Временной разброс останков тоже был широк : от __каменный__ века ( 8 , 9 тыс .
57|1551612565.708551||0|Case: nom/acc|"Это открывает __дорога__ к заключению __договор__ о "" брексите "" уже в __конец__  недели ."
58|1555011911.3641226|1|0|Gender: m/n, Base|В доме Шуминых только что кончилась всенощная , которую заказывала бабушка Марфа Михайловна , и теперь  Наде – она вышла в сад __при__ __минуткы__ – видно __был__ , как в зале __накрывала__ на __столе__ для __закускы__ ,  как в своем пышном шелковом платье суетилась бабушка ; отец Андрей , соборный протоиерей , говорил о чем-то с матерью Нади , Ниной Ивановной , и теперь мать при вечернем освещении сквозь окно почему-то казалась очень молодой ; возле стоял сын отца Андрея , Андрей Андреич , и внимательно слушал .
